zip_code,beds,baths,sqft,date,zip_median_price,sale_price
75002,4.0,2.0,2638.0,2025-07-31,465823.1916801718,457900.0
75002,4.0,2.0,2813.0,2015-09-30,251791.13339066392,599000.0
75002,4.0,3.0,1665.0,2023-09-30,482625.1345323315,275000.0
75002,4.0,3.0,1903.0,2016-11-30,278544.3042860265,409500.0
75002,4.0,3.0,1996.0,2017-09-30,294849.199135638,389900.0
75002,4.0,3.0,2062.0,2018-08-31,305056.0249736581,414900.0
75002,4.0,3.0,2195.0,2015-08-31,249780.5886729677,439000.0
75002,4.0,3.0,2199.0,2016-01-31,259589.33252556555,1210000.0
75002,4.0,3.0,2199.0,2024-08-31,483620.4875033735,4495000.0
75002,4.0,3.0,2226.0,2018-12-31,305434.7561807285,470000.0
75002,4.0,3.0,2247.0,2023-02-28,471165.4754370104,385000.0
75002,4.0,3.0,2315.0,2017-10-31,295713.4626969081,400000.0
75002,4.0,3.0,2319.0,2022-06-30,486600.6129244669,400000.0
75002,4.0,3.0,2364.0,2018-01-31,299231.61830466305,379000.0
75002,4.0,3.0,2380.0,2024-03-31,483608.69800301926,477000.0
75002,4.0,3.0,2446.0,2015-07-31,247745.48819813697,459000.0
75002,4.0,3.0,2458.0,2019-01-31,305591.15336180246,489900.0
75002,4.0,3.0,2473.0,2020-06-30,310453.9876782476,310000.0
75002,4.0,3.0,2522.0,2025-04-30,475428.6342662429,449000.0
75002,4.0,3.0,2561.0,2024-10-31,481085.60074644536,556000.0
75002,4.0,3.0,2572.0,2025-02-28,479061.76808377495,425000.0
75002,4.0,3.0,2610.0,2020-09-30,314750.77256218443,500000.0
75002,4.0,3.0,2617.0,2015-10-31,253835.5661361318,429990.0
75002,4.0,3.0,2621.0,2022-08-31,489476.5068801926,479900.0
75002,4.0,3.0,2674.0,2025-04-30,475428.6342662429,495000.0
75002,4.0,3.0,2689.0,2023-06-30,476226.4450546736,539000.0
75002,4.0,3.0,2696.0,2020-11-30,322095.32825668954,375000.0
75002,4.0,3.0,2696.0,2023-08-31,481460.1516701283,478000.0
